Position,Year,Week,Number of Neighbors,Weighting,Mechanism,Computed Error,ESPN Error
Quarterback,2014,2,100,uniform,Total average,0,0
Quarterback,2014,3,100,uniform,Total average,0,0
Quarterback,2014,4,100,uniform,Total average,734.9,163.0
Quarterback,2014,5,100,uniform,Total average,716.89,209.0
Quarterback,2014,6,100,uniform,Total average,689.58,237.0
Quarterback,2014,7,100,uniform,Total average,535.4,197.0
Quarterback,2014,8,100,uniform,Total average,541.5,226.0
Quarterback,2014,9,100,uniform,Total average,392,180.0
Quarterback,2014,2,100,uniform,Weekly average,0,0
Quarterback,2014,3,100,uniform,Weekly average,0,0
Quarterback,2014,4,100,uniform,Weekly average,734.9,163.0
Quarterback,2014,5,100,uniform,Weekly average,734.6,209.0
Quarterback,2014,6,100,uniform,Weekly average,721.94,237.0
Quarterback,2014,7,100,uniform,Weekly average,648.66,197.0
Quarterback,2014,8,100,uniform,Weekly average,687.57,226.0
Quarterback,2014,9,100,uniform,Weekly average,539.25,180.0
Quarterback,2014,2,20,uniform,Weekly average,757.05,188.0
Quarterback,2014,3,20,uniform,Weekly average,698.95,227.0
Quarterback,2014,4,20,uniform,Weekly average,665.55,163.0
Quarterback,2014,5,20,uniform,Weekly average,677.3,209.0
Quarterback,2014,6,20,uniform,Weekly average,722.7,237.0
Quarterback,2014,7,20,uniform,Weekly average,484.05,197.0
Quarterback,2014,8,20,uniform,Weekly average,645.15,226.0
Quarterback,2014,9,20,uniform,Weekly average,554.3,180.0
Quarterback,2014,2,30,uniform,Weekly average,754.33333333,188.0
Quarterback,2014,3,30,uniform,Weekly average,731.3,227.0
Quarterback,2014,4,30,uniform,Weekly average,677.6,163.0
Quarterback,2014,5,30,uniform,Weekly average,636.8,209.0
Quarterback,2014,6,30,uniform,Weekly average,696.33333333,237.0
Quarterback,2014,7,30,uniform,Weekly average,574.86666667,197.0
Quarterback,2014,8,30,uniform,Weekly average,621.56666667,226.0
Quarterback,2014,9,30,uniform,Weekly average,554.03333333,180.0
Quarterback,2014,2,40,uniform,Weekly average,0,0
Quarterback,2014,3,40,uniform,Weekly average,755.025,227.0
Quarterback,2014,4,40,uniform,Weekly average,705.275,163.0
Quarterback,2014,5,40,uniform,Weekly average,672.2,209.0
Quarterback,2014,6,40,uniform,Weekly average,709.175,237.0
Quarterback,2014,7,40,uniform,Weekly average,600.825,197.0
Quarterback,2014,8,40,uniform,Weekly average,598.5,226.0
Quarterback,2014,9,40,uniform,Weekly average,532.825,180.0
Quarterback,2014,2,50,uniform,Weekly average,0,0
Quarterback,2014,3,50,uniform,Weekly average,776.88,227.0
Quarterback,2014,4,50,uniform,Weekly average,701.56,163.0
Quarterback,2014,5,50,uniform,Weekly average,674.5,209.0
Quarterback,2014,6,50,uniform,Weekly average,706.06,237.0
Quarterback,2014,7,50,uniform,Weekly average,592.44,197.0
Quarterback,2014,8,50,uniform,Weekly average,610.5,226.0
Quarterback,2014,9,50,uniform,Weekly average,548.56,180.0
Quarterback,2014,2,60,uniform,Weekly average,0,0
Quarterback,2014,3,60,uniform,Weekly average,781.86666667,227.0
Quarterback,2014,4,60,uniform,Weekly average,715.76666667,163.0
Quarterback,2014,5,60,uniform,Weekly average,693.96666667,209.0
Quarterback,2014,6,60,uniform,Weekly average,708.18333333,237.0
Quarterback,2014,7,60,uniform,Weekly average,611.56666667,197.0
Quarterback,2014,8,60,uniform,Weekly average,635.78333333,226.0
Quarterback,2014,9,60,uniform,Weekly average,543.85,180.0
Quarterback,2014,2,70,uniform,Weekly average,0,0
Quarterback,2014,3,70,uniform,Weekly average,0,0
Quarterback,2014,4,70,uniform,Weekly average,728.5,163.0
Quarterback,2014,5,70,uniform,Weekly average,719.11428571,209.0
Quarterback,2014,6,70,uniform,Weekly average,683.64285714,237.0
Quarterback,2014,7,70,uniform,Weekly average,621.8,197.0
Quarterback,2014,8,70,uniform,Weekly average,668.1,226.0
Quarterback,2014,9,70,uniform,Weekly average,523.48571429,180.0
Quarterback,2014,2,80,uniform,Weekly average,0,0
Quarterback,2014,3,80,uniform,Weekly average,0,0
Quarterback,2014,4,80,uniform,Weekly average,723.8,163.0
Quarterback,2014,5,80,uniform,Weekly average,732.0625,209.0
Quarterback,2014,6,80,uniform,Weekly average,683.15,237.0
Quarterback,2014,7,80,uniform,Weekly average,639.7875,197.0
Quarterback,2014,8,80,uniform,Weekly average,670.6,226.0
Quarterback,2014,9,80,uniform,Weekly average,518.3125,180.0
Quarterback,2014,2,90,uniform,Weekly average,0,0
Quarterback,2014,3,90,uniform,Weekly average,0,0
Quarterback,2014,4,90,uniform,Weekly average,729.1,163.0
Quarterback,2014,5,90,uniform,Weekly average,723.37777778,209.0
