Position,Year,Week,Kernel,C,Epsilon,Degree,Gamma,Coef0,Probability,Shrinking,Norm,Computed Error,ESPN Error
Wide Receiver,2014,2,linear,1.0,0.1,3,0.0,0.0,False,True,l2,453.60758988,460.0
Wide Receiver,2014,3,linear,1.0,0.1,3,0.0,0.0,False,True,l2,483.6434763,505.0
Wide Receiver,2014,4,linear,1.0,0.1,3,0.0,0.0,False,True,l2,369.48971549,384.0
Wide Receiver,2014,5,linear,1.0,0.1,3,0.0,0.0,False,True,l2,459.86812618,521.0
Wide Receiver,2014,6,linear,1.0,0.1,3,0.0,0.0,False,True,l2,528.09827645,549.0
Wide Receiver,2014,7,linear,1.0,0.1,3,0.0,0.0,False,True,l2,482.91121214,443.0
Wide Receiver,2014,8,linear,1.0,0.1,3,0.0,0.0,False,True,l2,496.65626685,493.0
Wide Receiver,2014,9,linear,1.0,0.1,3,0.0,0.0,False,True,l2,388.4614045,406.0
Wide Receiver,2014,10,linear,1.0,0.1,3,0.0,0.0,False,True,l2,414.1237927,396.0
Wide Receiver,2014,2,poly,1.0,0.1,3,0.0,0.0,False,True,l2,446.2234823,460.0
Wide Receiver,2014,3,poly,1.0,0.1,3,0.0,0.0,False,True,l2,530.78759215,505.0
Wide Receiver,2014,4,poly,1.0,0.1,3,0.0,0.0,False,True,l2,423.14587023,384.0
Wide Receiver,2014,5,poly,1.0,0.1,3,0.0,0.0,False,True,l2,468.12861478,521.0
Wide Receiver,2014,6,poly,1.0,0.1,3,0.0,0.0,False,True,l2,567.84208412,549.0
Wide Receiver,2014,7,poly,1.0,0.1,3,0.0,0.0,False,True,l2,497.75110738,443.0
Wide Receiver,2014,8,poly,1.0,0.1,3,0.0,0.0,False,True,l2,528.30376185,493.0
Wide Receiver,2014,9,poly,1.0,0.1,3,0.0,0.0,False,True,l2,409.96098552,406.0
Wide Receiver,2014,10,poly,1.0,0.1,3,0.0,0.0,False,True,l2,433.05602614,396.0
Wide Receiver,2014,2,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,515.,460.0
Wide Receiver,2014,3,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,644.8,505.0
Wide Receiver,2014,4,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,484.6,384.0
Wide Receiver,2014,5,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,554.5,521.0
Wide Receiver,2014,6,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,672.,549.0
Wide Receiver,2014,7,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,613.4,443.0
Wide Receiver,2014,8,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,647.3,493.0
Wide Receiver,2014,9,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,504.,406.0
Wide Receiver,2014,10,sigmoid,1.0,0.1,3,0.0,0.0,False,True,l2,528.4,396.0
Wide Receiver,2014,2,linear,1.0,0.1,3,0.0,0.0,False,True,l1,442.39404155,460.0
Wide Receiver,2014,3,linear,1.0,0.1,3,0.0,0.0,False,True,l1,485.39240431,505.0
Wide Receiver,2014,4,linear,1.0,0.1,3,0.0,0.0,False,True,l1,372.7679179,384.0
Wide Receiver,2014,5,linear,1.0,0.1,3,0.0,0.0,False,True,l1,458.66396545,521.0
Wide Receiver,2014,6,linear,1.0,0.1,3,0.0,0.0,False,True,l1,533.41931163,549.0
Wide Receiver,2014,7,linear,1.0,0.1,3,0.0,0.0,False,True,l1,485.79478171,443.0
